group,set,condition,context-type,context,sentence,question,FALSE,CORRECT,FIRST,SECOND
A,1,a,יחד,המדריכות והתיירת נסעו אתמול ביחד לכפר היפה,הבוקר התיירת שכרה את המדריכה שהמקומיים מהכפר הסמוך התרגזו עליה בעקבות אי הבנה,?על מי המקומיים התרגזו,התיירת,המדריכה,התיירת,המדריכה
A,2,c,נפרד,המאמנת הצטלמה בקצה האולם והמתעמלות התחממו לפני התחרות,בתחילת התחרות המאמנת הרחיקה את המתעמלת שהאוהדים הקולניים והמאוכזבים זלזלו בה בגלל ההפסדים האחרונים,?במי האוהדים זלזלו,המאמנת,המתעמלת,המאמנת,המתעמלת
A,3,d,רק פילר,המפיקות חיכו מחוץ לסטודיו עד שהוא יתפנה לגמרי,ביציאה מהסטודיו הסוכנת התלחשה עם המפיקה שהנגנים המוכשרים והידידותיים התלהבו ממנה בעקבות הצלחת האלבום,?ממי הנגנים התלהבו,הסוכנת,המפיקה,הסוכנת,המפיקה
A,4,b,כללי,חדר החקירות הישן והמפחיד ממוקם בסוף המסדרון,בכניסה לחדר השוטרת הסתירה את החשודה שהפושעים מהעולם התחתון איימו עליה אחרי המעצר המתוקשר,?על מי הפושעים איימו,השוטרת,החשודה,השוטרת,החשודה
A,5,a,יחד,הסוהרות והמפקחת נפגשו אתמול בערב במשרד,הבוקר המפקחת תחקרה את הסוהרת שהאסירים האלימים ביותר התעללו בה בתחילת התפקיד הרשמי,?במי האסירים התעוללו,המפקחת,הסוהרת,המפקחת,הסוהרת
A,6,c,נפרד,הזמרת התראיינה בזמן ההכנות והכוכבות התאפרו,אחר כך הזמרת דיברה עם הכוכבת שהמעריצים הנאמנים והמסורים דאגו לה בזמן ההיעדרות הממושכת,?למי המעריצים דאגו,הזמרת,הכוכבת,הזמרת,הכוכבת
A,7,d,רק פילר,החובשות ניקו את המוקד כחלק מההכנות למשמרת,קצת אחר כך הרופאה תשאלה את החובשת שהפצועים חסרי האונים נזקקו לה בעקבות תאונת הדרכים,?למי הפצועים נזקקו,הרופאה,החובשת,הרופאה,החובשת
A,8,a,יחד,היועצות והנשיאה צפו בהרצאה ביחד היום בכנס,אחרי הכנס הנשיאה זימנה את היועצת שהלוביסטים מטעם הארגון שילמו לה כדי לקדם את החוק בנוגע לאיכות הסביבה,?למי הלוביסטים שילמו,הנשיאה,היועצת,הנשיאה,היועצת
A,9,c,נפרד,הבמאית חשבה על הסצינה הבאה בזמן שהשחקניות בילו על סט הצילומים,בתחילת הצילומים הבמאית הסריטה את השחקנית שהניצבים הצעירים והנרגשים התבוננו בה בהתעניינות לזמן רב,?במי הניצבים התבוננו,הבמאית,השחקנית,הבמאית,השחקנית
A,10,d,רק פילר,המבריחות הסתירו את הרכב שהכיל סחורה לא חוקית,לקראת החקירה הבלשית איתרה את המבריחה שהסייענים הפיקחים והזריזים עזרו לה תמורת תשלום גבוה,?למי הסייענים עזרו,הבלשית,המבריחה,הבלשית,המבריחה
A,11,b,כללי,משמרת הבוקר הייתה מאוד עמוסה ולכן לא הסתיימה בזמן,באמצע המשמרת האחראית קראה לקופאית שהלקוחות התובעניים והדעתניים הקשיבו לה בתשומת לב,?למי הלקוחות הקשיבו,האחראית,הקופאית,האחראית,הקופאית
A,12,d,רק פילר,הרקדניות רצו ביחד לתחנת הרכבת הקרובה אחרי החזרה,בתוך ההמון הכוריאוגרפית זיהתה את הרקדנית שהמלהקים המתנשאים במחזמר לעגו לה במהלך האודישן הראשון,?למי המלהקים לעגו,הכוריאוגרפית,הרקדנית,הכוריאוגרפית,הרקדנית
A,13,a,יחד,הזקנות והדיירת הכינו אוכל ביחד אחרי הצהריים,באותו יום הדיירת אירחה את הזקנה שהשכנים גסי הרוח ריכלו עליה באסיפת הבניין האחרונה,?על מי השכנים ריכלו,הדיירת,הזקנה,הדיירת,הזקנה
A,14,c,נפרד,הסוחרת רכשה ציורים חדשים והציירות התכונננו לתערוכה הבינלאומית,בפתיחת התערוכה הסוחרת שוחחה עם הציירת שהאספנים העשירים והמסתוריים הסתכלו עליה בהתפלאות,?על מי האספנים הסתכלו,הסוחרת,הציירת,הסוחרת,הציירת
A,15,d,רק פילר,המפקדות השתתפו בקורס הקשה והתובעני,בסיום הקורס הקצינה הכשירה את המפקדת שהטירונים המבולבלים והעייפים פחדו ממנה פחד עצום,?ממי הטירונים פחדו,הקצינה,המפקדת,הקצינה,המפקדת
A,16,b,כללי,סשן הצילום נקבע לעוד חודש ואחריו נקבעה מסיבה,לקראת הסשן הצלמת בחרה את הדוגמנית שהמעצבים הנחשבים ביותר התנכלו לה אחרי הראיון למגזין,?למי המעצבים התנכלו,הצלמת,הדוגמנית,הצלמת,הדוגמנית
A,17,a,יחד,הכתבות והמגישה התכוננו לעבודה בבוקר,במהלך העבודה המגישה ראיינה את הכתבת שהבכירים בערוץ המרכזי התרשמו ממנה הודות למקצועיות יוצאת דופן,?ממי הבכירים התרשמו,המגישה,הכתבת,המגישה,הכתבת
A,18,c,נפרד,הטבחית הרתיחה מים והמלצריות עשו קניות,בזמן האחרון הטבחית חיבבה את המלצרית שהסועדים השבעים והמרוצים החמיאו לה כמעט כל יום,?למי הסועדים החמיאו,הטבחית,המלצרית,הטבחית,המלצרית
A,19,d,רק פילר,המלחינות ארגנו את סדנת המוזיקה בשבוע שעבר,בתחילת הסדנה הפסנתרנית הציגה את המלחינה שהכנרים הוותיקים והמפורסמים התפעלו ממנה במהלך החזרות לקונצרט,?ממי הכנרים התפעלו,הפסנתרנית,המלחינה,הפסנתרנית,המלחינה
A,20,b,כללי,הצומת המסוכנת הייתה עמוסה מהבוקר עד אחרי הצהריים,ליד הצומת הפקחית צילמה את הנהגת שהאופנוענים חסרי הזהירות חמקו ממנה בזמן שהרמזור התחלף,?ממי האופנוענים חמקו,הפקחית,הנהגת,הפקחית,הנהגת
A,21,a,יחד,הטניסאיות והשופטת התווכחו בתקווה להגיע לפתרון אחרי התחרות המתסכלת,בסוף הויכוח השופטת פסלה את הטניסאית שהצופים מהיציע העליון ניגשו אליה במחצית של המשחק,?למי הצופים ניגשו,השופטת,הטניסאית,השופטת,הטניסאית
A,22,d,רק פילר,המתווכות רכשו מפה לאזור הדיור הציבורי החדש לפני שנסעו שם,מאז הפגישה הראשונה האדריכלית שנאה את המתווכת שהדיירים הזהירים והמנוסים סמכו עליה בתהליך כתיבת החוזה,?על מי הדיירים סמכו,האדריכלית,המתווכת,האדריכלית,המתווכת
A,23,b,כללי,אחרי השיעור כולם יצאו למסדרון שליד הכיתה,בסוף ההפסקה המתרגלת התיידדה עם הסטודנטית שהמרצים חסרי הנסיון ייעצו לה בזמן המבחן הקשה,?למי המרצים ייעצו,המתרגלת,הסטודנטית,המתרגלת,הסטודנטית
A,24,a,יחד,הפסיכולוגיות והמאבחנת דיווחו על תקלה במחשבי המרפאה,בסוף המשמרת המאבחנת חיפשה את הפסיכולוגית שהמטופלים באגף השיקום נקשרו אליה הודות ליחס האישי,?למי המטופלים נקשרו,המאבחנת,הפסיכולוגית,המאבחנת,הפסיכולוגית
A,25,c,נפרד,השדרנית בדקה את הציוד והשחייניות נפגשו ליד הבריכה האולימפית,בהמשך היום השדרנית ראיינה את השחיינית שהמתחרים המובילים בעולם צפו בה במהלך סיקור התוצאות,?מי המתחרים הדהימו,השדרנית,השחיינית,השדרנית,השחיינית
A,26,d,רק פילר,העיתונאיות רבו ללא הפסקה בזמן הפגישה,בעקבות הפגישה העורכת צינזרה את העיתונאית שהקוראים האדוקים והמשכילים השפיעו עליה בנוגע למאמר הנוקב,?על מי הקוראים השפיעו,העורכת,העיתונאית,העורכת,העיתונאית
A,27,b,כללי,הביקור החשוב במעבדה התקיים בסוף היום,באותו זמן התורמת הקשיבה לחוקרת שהמתמחים העצלנים והתלותיים הפריעו לה בתהליך אישור המענק,?למי המתמחים הפריעו,התורמת,החוקרת,התורמת,החוקרת
A,28,a,יחד,המלבישות והסדרנית הכינו את התפאורה ביחד לפני ההופעה,בתחילת ההופעה הסדרנית ליוותה את המלבישה שהגברים החצופים והמופרעים הציקו לה בכניסה לבניין,?למי הגברים הציקו,הסדרנית,המלבישה,הסדרנית,המלבישה
A,29,c,נפרד,הכלה ישבה בחדר ההלבשה והמאפרות תלו אורות צבעוניים לפני החתונה,בקבלת הפנים הכלה נצמדה למאפרת שהאורחים הנחמדים והחייכנים הודו לה בלבביות רבה,?למי האורחים הודו,הכלה,המאפרת,הכלה,המאפרת
A,30,d,רק פילר,המיילדות סידרו את המחלקה ביחד לפני המשמרת,בתחילת המשמרת האחות ניחמה את המיילדת שהמתלמדים החדשים והמתנשאים זלזלו בה בצורה מעליבה ופוגענית,?במי המתלמדים זלזלו,האחות,המיילדת,האחות,המיילדת
A,31,b,כללי,הניסוי היה צפוי לעבור בקלות כי ההוראות היו ממש ברורות,במהלך הניסוי המתנדבת הקליטה את הנבדקת שעוזרי המחקר המנוסים דיברו איתה עניין רב,?עם מי עוזרי המחקר דיברו,המתנדבת,הנבדקת,המתנדבת,הנבדקת
A,32,a,יחד,הספרניות והרכזת ארגנו ביחד את התיקיות בקטלוג,תוך כדי העבודה הרכזת זירזה את הספרנית שהפועלים האיטיים והיסודיים עזרו לה בהכנות,?למי הפועלים עזרו,הרכזת,הספרנית,הרכזת,הספרנית
A,1,filler,filler,הטייסת והדיילות תפעלו את המערכת,לפני תחילת הנסיעה הדיילת שהנוסעים ריגשו הביטה בטייסת בעלת התסרוקת המוזרה,?את מי הנוסעים ריגשו,הטייסת,הדיילת,הדיילת,הטייסת
A,2,filler,filler,חנות השירות העצמי נפתחה לפני שבוע,בגלל חוסר אחריות המכונה שנשברה על-ידי הצרכנים המגושמים חשפה את קופסת הכסף שבתוכה,?מה הצרכנים שברו,קופסת הכסף,המכונה,המכונה,קופסת הכסף
A,3,filler,filler,הבנאים מרעישים הרבה בלילה,בנוסף לרעש המרפאה שנבנית על-ידי הבנאים החרוצים מסתירה את הדירה שבקצה השכונה,?מה הבנאים בונים,הדירה,המרפאה,המרפאה,הדירה
A,4,filler,filler,האומנת כיבסה את הבגדים והאמא בישלה ארוחת ערב,אחרי חיפוש ארוך באינטרנט האמא שתמיד התלהבה ממותגים יקרים שכרה את האומנת היצירתית,?את מי המותגים מלהיבים,האומנת,האמא,האמא,האומנת
A,5,filler,filler,האצניות צפו במירוץ ביחד,בדרך הביתה אחרי המירוץ האצנית שהתאכזבה מהעמיתים שלה הביטה בבחורה הבוכה לבד בצד הדרך,?את מי הקרובים אכזבו,הבחורה,האצנית,האצנית,הבחורה
A,6,filler,filler,הכבשים נלקחו לבדיקה כללית והתרנגולת הסתובבה לידן,אחרי הבדיקה הכבשה שטופלה על-ידי החקלאי בעטה בתרנגולת שהיתה לידה,?במי החקלאי טיפל,התרנגולת,הכבשה,הכבשה,התרנגולת
A,7,filler,filler,אתמול התקיימה פגישה על הצוואה,הבוקר האלמנה שהחשבונאים הקפדנים העריכו החליטה לתרום לחברה במקום להחליט על יורשת,?את מי החשבונאים העריכו,לחברה,האלמנה,האלמנה,לחברה
A,8,filler,filler,הכדורגלניות צפו בתחרות ביחד בערב,במהלך המשחק המתמודדים העליבו את הכדורגלנית החלשה שניצלה את העמיתה שלה מהקבוצה הגדולה,?את מי המתמודדים העליבו,העמיתה,הכדורגלניות,הכדורגלניות,העמיתה
A,9,filler,filler,הכדורסלניות והמאמנת הסתודדו,בגמר הגדול הכדורסלנית שהקהל כיבד כי היא מקשיבה למאמנת המנוסה שיחקה מצוין,?את מי הקהל מכבד,המאמנת,הכדורסלניות,הכדורסלניות,המאמנת
A,10,filler,filler,המנקות יצאו לטייל בפארק ביחד,המנקה שכעסה על המעסיקים ביקשה מהשכירה היומית שתעשה את העבודה שלה במקומה,?את מי המעסיקים הכעיסו,השכירה,המנקה,המנקה,השכירה
A,11,filler,filler,הגבירה שתתה תה והחייטת מדדה את הבד,באותו יום הגבירה שהיתה מתוסכלת מהעיצוב הפשוט של השמלה הרחיקה את החייטת הענייה מהמפעל,?את מי העיצוב תסכל,החייטת,הגבירה,הגבירה,החייטת
A,12,filler,filler,השחקניות השתתפו ביחד במשחק הראשון של הטורניר,אחרי הענקת המדליות השוערת שניצחה במשחק האלים של שכבת הנוער נעלבה מהשופט ובעטה בשחקנית שעמדה בצד,?את מי השופט העליב,השחקנית,השוערת,השוערת,השחקנית
A,13,filler,filler,המארגנת מילאה את הכוס שלה בזמן שהתקליטנית בחרה שיר,לפני ההופעה הגברים הציקו לתקליטנית שהיתה עסוקה בשיחה עם המארגנת,?למי הגברים הציקו,המארגנת,התקליטנית,התקליטנית,המארגנת
A,14,filler,filler,החזירות התגלגלו באדמה בעוד החתולה שיחקה בצמחים,באותו יום היו שם בחורים אכזריים שהרביצו לחתולה ששיחקה הכי קרוב לחזירות,?למי הבחורים הרביצו,החזירות,החתולה,החתולה,החזירות
A,15,filler,filler,הפרה ישנה בשמש והסוסות שיחקו ליד הבריכה,קצת אחרי הסוסה האצילה שהילדים רכבו עליה פגעה בפרה הלבנה שהיתה ליד הבריכה,?על מי הילדים רכבו,הפרה,הסוסה,הסוסה,הפרה
A,16,filler,filler,הכרטיסנית והבת שלה עלו ביחד לרכבת,לפני הנסיעה הכרטיסנית שכעסה בגלל הנוסעים שוחחה עם הבת שלה שדפדפה באינסטגרם,?את מי הנוסעים הכעיסו,הבת,הכרטיסנית,הכרטיסנית,הבת
A,17,filler,filler,הילדה דיברה עם האמהות בגן,לפני זה הילדה שהתעצבנה מהילד המפונק של השכנים דיברה עם אמה שהיתה עסוקה ולא התייחסה אליה,?את מי הילד עיצבן,האם,הילדה,הילדה,האם
A,18,filler,filler,בדיקות הראייה הפכו מאד יקרות,אחרי הביקור הרפואי החולָה קיבלה החזר כספי מקופת החולים כי היא התאכזבה מהאופטיקאית הצעירה,?למי קופת החולים נתנה החזר כספי,האופטיקאית,החולָה,החולָה,האופטיקאית
A,19,filler,filler,הסטנדאפיסטיות החליטו להמשיך לחגוג והזוכה התכוננה לחזור הביתה,בעקבות האירוע הזוכה כעסה על הקהל כי הוא לא השתתף בהופעה של הסטנדאפיסטית הקרובה אליה,?את מי הקהל הכעיס,הסטנדאפיסטית,הזוכה,הזוכה,הסטנדאפיסטית
A,20,filler,filler,הדודות בישלו ארוחת ערב כשהפושעת הסתובבה בשכונה,בסיום הארוחה הדודה הפחדנית שהתושבים הזהירו מכניסת הפושעת המסוכנת לבניין שלה נעלה את הדלת,?את מי התושבים הזהירו,הפושעת,הדודה,הדודה,הפושעת
A,21,filler,filler,הנשים והליצניות התכוננו ביחד למסיבה,בתחילת המסיבה האישה שהחוגגים התשושים הפחידו צעקה והלחיצה את הליצנית הידידותית,?את מי החוגגים הפחידו,הליצנית,האישה,האישה,הליצנית
A,22,filler,filler,הכלבה והגורות שחו באגם ביחד,באותו יום הגורה שהוטרינר הרים נשכה את הכלבה המסכנה כי היא פחדה,?את מי הוטרינר הרים,הכלבה,הגורה,הגורה,הכלבה
A,23,filler,filler,הילדות רצו בחצר ביחד,באותו זמן הכלבה שנבהלה מהחתולים האגרסיביים של הסבתא רדפה אחרי הילדה הקטנה ביותר בחבורה,?את מי החתולים הבהילו,הילדה,הכלבה,הכלבה,הילדה
A,24,filler,filler,המנקות והמשרתות רוקנו את המקרר,אחרי הזזת המקרר העדים הפלילו את המשרתת החדשה שעמדה צמוד למנקה הנמוכה ודיברה איתה,?את מי העדים הפלילו,המנקה,המשרתת,המשרתת,המנקה
A,25,filler,filler,הנשים והמומחיות השתתפו ביחד בתכנית מיוחדת,בתקופה זו המומחית שהאסיסטנטים אירחו טיפלה באישה האמיצה שנלחמה במחלה,?את מי האסיסטנטים אירחו,האישה,המומחית,המומחית,האישה
A,26,filler,filler,ההפגנה התחילה בכיכר הקרובה,אחרי ההפגנה המפגינים איימו על הנערה הרגועה שהצביעה על המתפללת מהכפר הקטן,?על מי המפגינים איימו,המתפללת,הנערה,הנערה,המתפללת
A,27,filler,filler,השקת הספר היתה מרגשת,במהלך האירוע המשוררת שהקהל הקשוח אהב תמכה בנכדה המוכשרת שלה כדי שתגשים את חלומה,?את מי הקהל אהב,הנכדה,המשוררת,המשוררת,הנכדה
A,28,filler,filler,הפעילות נפגשו אתמול בבוקר,באותו בוקר השרה הוותיקה שהאנליסטים ליוו במהלך ניסוח החוק ביקשה מהפעילה לעזור בקידומו,?את מי האנליסטים ליוו,הפעילה,השרה,השרה,הפעילה
A,29,filler,filler,הכבאיות הוזעקו לאזור השריפה,אחרי השריפה השומרת שמנעה את הכבאית מלהיכנס לאזור המסוכן הוענשה על-ידי התושבים של הכפר,?את מי התושבים הענישו,הכבאית,השומרת,השומרת,הכבאית
A,30,filler,filler,המשרדים הסמוכים חוברו למשרד אחד,בגלל השינוי המוקדנית שהתבלבלה בגלל הלקוחות ביקשה מהמזכירה לחזור למשרד החדש ביחד,?את מי הלקוחות בלבלו,המזכירה,המוקדנית,המוקדנית,המזכירה
A,31,filler,filler,הנואמות התכוננו ביחד לעלייה לבמה,אחרי סיום הנאום המפגינים העקשנים שמרו על הנואמת שנפגעה על-ידי המשאית שנסעה במהירות,?על מי המפגינים שמרו,המשאית,הנואמת,הנואמת,המשאית
A,32,filler,filler,הקשישות הלכו למועדון והמטפלת עישנה בחוץ,בכניסה למועדון הקליינטים קיללו את המטפלת הביישנית ששכחה לעזור לקשישה להתלבש לפני האירוע,?את מי הקליינטים קיללו,הקשישה,המטפלת,המטפלת,הקשישה
B,1,b,כללי,המטוס המלא המריא אתמול בדרך אל עיר החוף,הבוקר התיירת שכרה את המדריכה שהמקומיים מהכפר הסמוך התרגזו עליה בעקבות אי הבנה,?על מי המקומיים התרגזו,התיירת,המדריכה,התיירת,המדריכה
B,2,a,יחד,המאמנת והמתעמלות הצטלמו ביחד לפני התחרות הקשה,בתחילת התחרות המאמנת הרחיקה את המתעמלת שהאוהדים הקולניים והמאוכזבים זלזלו בה בגלל ההפסדים האחרונים,?במי האוהדים זלזלו,המאמנת,המתעמלת,המאמנת,המתעמלת
B,3,c,נפרד,המפיקות חיכו שהסטודיו יתפנה והסוכנת הקשיבה לשיר החדש,ביציאה מהסטודיו הסוכנת התלחשה עם המפיקה שהנגנים המוכשרים והידידותיים התלהבו ממנה בעקבות הצלחת האלבום,?ממי הנגנים התלהבו,הסוכנת,המפיקה,הסוכנת,המפיקה
B,4,d,רק פילר,החשודות התווכחו בחדר החקירות בזמן ההמתנה לחקירה,בכניסה לחדר השוטרת הסתירה את החשודה שהפושעים מהעולם התחתון איימו עליה אחרי המעצר המתוקשר,?על מי הפושעים איימו,השוטרת,החשודה,השוטרת,החשודה
B,5,b,כללי,תחנת המשטרה המערבית הייתה עמוסה היום,הבוקר המפקחת תחקרה את הסוהרת שהאסירים האלימים ביותר התעללו בה בתחילת התפקיד הרשמי,?במי האסירים התעוללו,המפקחת,הסוהרת,המפקחת,הסוהרת
B,6,a,יחד,הזמרת והכוכבות התראיינו בזמן ההכנות למופע,אחר כך הזמרת דיברה עם הכוכבת שהמעריצים הנאמנים והמסורים דאגו לה בזמן ההיעדרות הממושכת,?למי המעריצים דאגו,הזמרת,הכוכבת,הזמרת,הכוכבת
B,7,c,נפרד,החובשות התכוננו למשמרת בזמן שהרופאה חיפשה כיסא גלגלים,קצת אחר כך הרופאה תשאלה את החובשת שהפצועים חסרי האונים נזקקו לה בעקבות תאונת הדרכים,?למי הפצועים נזקקו,הרופאה,החובשת,הרופאה,החובשת
B,8,b,כללי,הכנס החשוב בנושא חקיקה על אקלים וסביבה התחיל היום,אחרי הכנס הנשיאה זימנה את היועצת שהלוביסטים מטעם הארגון שילמו לה כדי לקדם את החוק בנוגע לאיכות הסביבה,?למי הלוביסטים שילמו,הנשיאה,היועצת,הנשיאה,היועצת
B,9,a,יחד,הבמאית והשחקניות בילו ביחד על סט הצילומים,בתחילת הצילומים הבמאית הסריטה את השחקנית שהניצבים הצעירים והנרגשים התבוננו בה בהתעניינות לזמן רב,?במי הניצבים התבוננו,הבמאית,השחקנית,הבמאית,השחקנית
B,10,c,נפרד,המבריחות התקשרו לחבריהן לקבל עזרה בעוד הבלשית רדפה אחרי הרכב המדאיג,לקראת החקירה הבלשית איתרה את המבריחה שהסייענים הפיקחים והזריזים עזרו לה תמורת תשלום גבוה,?למי הסייענים עזרו,הבלשית,המבריחה,הבלשית,המבריחה
B,11,d,רק פילר,הקופאיות עבדו במשמרת הבוקר העמוסה ביחד,באמצע המשמרת האחראית קראה לקופאית שהלקוחות התובעניים והדעתניים הקשיבו לה בתשומת לב,?למי הלקוחות הקשיבו,האחראית,הקופאית,האחראית,הקופאית
B,12,c,נפרד,הרקדניות חיכו לרכבת הקרובה בעוד הכוראוגרפית רכשה כרטיס נסיעה,בתוך ההמון הכוריאוגרפית זיהתה את הרקדנית שהמלהקים המתנשאים במחזמר לעגו לה במהלך האודישן הראשון,?למי המלהקים לעגו,הכוריאוגרפית,הרקדנית,הכוריאוגרפית,הרקדנית
B,13,b,כללי,היה הרבה רעש בדירה שבקומה האחרונה אחר הצהריים,באותו יום הדיירת אירחה את הזקנה שהשכנים גסי הרוח ריכלו עליה באסיפת הבניין האחרונה,?על מי השכנים ריכלו,הדיירת,הזקנה,הדיירת,הזקנה
B,14,a,יחד,הסוחרת והציירות טסו לתערוכה הבינלאומית לפני יומיים,בפתיחת התערוכה הסוחרת שוחחה עם הציירת שהאספנים העשירים והמסתוריים הסתכלו עליה בהתפלאות,?על מי האספנים הסתכלו,הסוחרת,הציירת,הסוחרת,הציירת
B,15,c,נפרד,המפקדות השתתפו בקורס הקשה והקצינה ניהלה את הבסיס,בסיום הקורס הקצינה הכשירה את המפקדת שהטירונים המבולבלים והעייפים פחדו ממנה פחד עצום,?ממי הטירונים פחדו,הקצינה,המפקדת,הקצינה,המפקדת
B,16,d,רק פילר,הדוגמניות התכוננו לסשן הצילום שיתרחש בעוד חודש,לקראת הסשן הצלמת בחרה את הדוגמנית שהמעצבים הנחשבים ביותר התנכלו לה אחרי הראיון למגזין,?למי המעצבים התנכלו,הצלמת,הדוגמנית,הצלמת,הדוגמנית
B,17,b,כללי,אולפן החדשות פוּנה לפני תחילת העבודה,במהלך העבודה המגישה ראיינה את הכתבת שהבכירים בערוץ המרכזי התרשמו ממנה הודות למקצועיות יוצאת דופן,?ממי הבכירים התרשמו,המגישה,הכתבת,המגישה,הכתבת
B,18,a,יחד,הטבחית והמלצריות עבדו ביחד בהרמוניה כל משמרת,בזמן האחרון הטבחית חיבבה את המלצרית שהסועדים השבעים והמרוצים החמיאו לה כמעט כל יום,?למי הסועדים החמיאו,הטבחית,המלצרית,הטבחית,המלצרית
B,19,c,נפרד,המלחינות ארגנו את סדנת המוזיקה והפסנתרנית היתה שקועה באימונים,בתחילת הסדנה הפסנתרנית הציגה את המלחינה שהכנרים הותיקים והמפורסמים התפעלו ממנה במהלך החזרות לקונצרט,?ממי הכנרים התפעלו,הפסנתרנית,המלחינה,הפסנתרנית,המלחינה
B,20,d,רק פילר,הנהגות נסעו לתחנת הדלק הקרובה אחרי שהרמזור התחלף,ליד הצומת הפקחית צילמה את הנהגת שהאופנוענים חסרי הזהירות חמקו ממנה בזמן שהרמזור התחלף,?ממי האופנוענים חמקו,הפקחית,הנהגת,הפקחית,הנהגת
