group,set,condition,context-type,context,sentence,question,FALSE,CORRECT,FIRST,SECOND
B,21,b,כללי,תחרות הספורט המתסכלת הסתיימה בערב וגרמה להרבה וויכוחים,בסוף הויכוח השופטת פסלה את הטניסאית שהצופים מהיציע העליון ניגשו אליה במחצית של המשחק,?למי הצופים ניגשו,השופטת,הטניסאית,השופטת,הטניסאית
B,22,c,נפרד,המתווכות רכשו מפה לאזור הדיור הציבורי בעוד האדרכלית תכננה נסיעה לאזור הזה,מאז הפגישה הראשונה האדריכלית שנאה את המתווכת שהדיירים הזהירים והמנוסים סמכו עליה בתהליך כתיבת החוזה,?על מי הדיירים סמכו,האדריכלית,המתווכת,האדריכלית,המתווכת
B,23,d,רק פילר,הסטודנטיות הלכו לקפיטריה הקרובה ביחד,בסוף ההפסקה המתרגלת התיידדה עם הסטודנטית שהמרצים חסרי הנסיון ייעצו לה בזמן המבחן הקשה,?למי המרצים ייעצו,המתרגלת,הסטודנטית,המתרגלת,הסטודנטית
B,24,b,כללי,המרכז הפסיכולוגי החדש מתאפיין באאווירה משפחתית נעימה,בסוף המשמרת המאבחנת חיפשה את הפסיכולוגית שהמטופלים באגף השיקום נקשרו אליה הודות ליחס האישי,?למי המטופלים נקשרו,המאבחנת,הפסיכולוגית,המאבחנת,הפסיכולוגית
B,25,a,יחד,השדרנית והשחייניות נפגשו ליד הבריכה האולימפית בסוף התחרות,בהמשך היום השדרנית ראיינה את השחיינית שהמתחרים המובילים בעולם צפו בה במהלך סיקור התוצאות,?מי המתחרים הדהימו,השדרנית,השחיינית,השדרנית,השחיינית
B,26,c,נפרד,העיתונאיות רבו בזמן הפגישה בעוד העורכת עישנה סיגריה,בעקבות הפגישה העורכת צינזרה את העיתונאית שהקוראים האדוקים והמשכילים השפיעו עליה בנוגע למאמר הנוקב,?על מי הקוראים השפיעו,העורכת,העיתונאית,העורכת,העיתונאית
B,27,d,רק פילר,החוקרות ניקו וחיטאו את הציוד ביחד בסוף היום,באותו זמן התורמת הקשיבה לחוקרת שהמתמחים העצלנים והתלותיים הפריעו לה בתהליך אישור המענק,?למי המתמחים הפריעו,התורמת,החוקרת,התורמת,החוקרת
B,28,b,כללי,התפאורה באולם האמצעי היתה מוכנה להופעה,בתחילת ההופעה הסדרנית ליוותה את המלבישה שהגברים החצופים והמופרעים הציקו לה בכניסה לבניין,?למי הגברים הציקו,הסדרנית,המלבישה,הסדרנית,המלבישה
B,29,a,יחד,הכלה והמאפרות תלו את האורות ביחד לפני החתונה,בקבלת הפנים הכלה נצמדה למאפרת שהאורחים הנחמדים והחייכנים הודו לה בלבביות רבה,?למי האורחים הודו,הכלה,המאפרת,הכלה,המאפרת
B,30,c,נפרד,המיילדות סידרו את המחלקה והאחות מיינה את התרופות לפני המשמרת,בתחילת המשמרת האחות ניחמה את המיילדת שהמתלמדים החדשים והמתנשאים זלזלו בה בצורה מעליבה ופוגענית,?במי המתלמדים זלזלו,האחות,המיילדת,האחות,המיילדת
B,31,d,רק פילר,הנבדקות קראו את הוראות הניסוי ביחד לפני תחילתו,במהלך הניסוי המתנדבת הקליטה את הנבדקת שעוזרי המחקר המנוסים דיברו איתה בעניין רב,?עם מי עוזרי המחקר דיברו,המתנדבת,הנבדקת,המתנדבת,הנבדקת
B,32,b,כללי,האגף החדש והמשופץ בספרייה עדיין בשלב ההכנות והסידורים,תוך כדי העבודה הרכזת זירזה את הספרנית שהפועלים האיטיים והיסודיים עזרו לה בהכנות,?למי הפועלים עזרו,הרכזת,הספרנית,הרכזת,הספרנית
B,1,filler,filler,הטייסת והדיילות תפעלו את המערכת,לפני תחילת הנסיעה הדיילת שהנוסעים ריגשו הביטה בטייסת בעלת התסרוקת המוזרה,?את מי הנוסעים ריגשו,הטייסת,הדיילת,הדיילת,הטייסת
B,2,filler,filler,חנות השירות העצמי נפתחה לפני שבוע,בגלל חוסר אחריות המכונה שנשברה על-ידי הצרכנים המגושמים חשפה את קופסת הכסף שבתוכה,?מה הצרכנים שברו,קופסת הכסף,המכונה,המכונה,קופסת הכסף
B,3,filler,filler,הבנאים מרעישים הרבה בלילה,בנוסף לרעש המרפאה שנבנית על-ידי הבנאים החרוצים מסתירה את הדירה שבקצה השכונה,?מה הבנאים בונים,הדירה,המרפאה,המרפאה,הדירה
B,4,filler,filler,האומנת כיבסה את הבגדים והאמא בישלה ארוחת ערב,אחרי חיפוש ארוך באינטרנט האמא שתמיד התלהבה ממותגים יקרים שכרה את האומנת היצירתית,?את מי המותגים מלהיבים,האומנת,האמא,האמא,האומנת
B,5,filler,filler,האצניות צפו במירוץ ביחד,בדרך הביתה אחרי המירוץ האצנית שהתאכזבה מהעמיתים שלה הביטה בבחורה הבוכה לבד בצד הדרך,?את מי הקרובים אכזבו,הבחורה,האצנית,האצנית,הבחורה
B,6,filler,filler,הכבשים נלקחו לבדיקה כללית והתרנגולת הסתובבה לידן,אחרי הבדיקה הכבשה שטופלה על-ידי החקלאי בעטה בתרנגולת שהיתה לידה,?במי החקלאי טיפל,התרנגולת,הכבשה,הכבשה,התרנגולת
B,7,filler,filler,אתמול התקיימה פגישה על הצוואה,הבוקר האלמנה שהחשבונאים הקפדנים העריכו החליטה לתרום לחברה במקום להחליט על יורשת,?את מי החשבונאים העריכו,לחברה,האלמנה,האלמנה,לחברה
B,8,filler,filler,הכדורגלניות צפו בתחרות ביחד בערב,במהלך המשחק המתמודדים העליבו את הכדורגלנית החלשה שניצלה את העמיתה שלה מהקבוצה הגדולה,?את מי המתמודדים העליבו,העמיתה,הכדורגלניות,הכדורגלניות,העמיתה
B,9,filler,filler,הכדורסלניות והמאמנת הסתודדו,בגמר הגדול הכדורסלנית שהקהל כיבד כי היא מקשיבה למאמנת המנוסה שיחקה מצוין,?את מי הקהל מכבד,המאמנת,הכדורסלניות,הכדורסלניות,המאמנת
B,10,filler,filler,המנקות יצאו לטייל בפארק ביחד,המנקה שכעסה על המעסיקים ביקשה מהשכירה היומית שתעשה את העבודה שלה במקומה,?את מי המעסיקים הכעיסו,השכירה,המנקה,המנקה,השכירה
B,11,filler,filler,הגבירה שתתה תה והחייטת מדדה את הבד,באותו יום הגבירה שהיתה מתוסכלת מהעיצוב הפשוט של השמלה הרחיקה את החייטת הענייה מהמפעל,?את מי העיצוב תסכל,החייטת,הגבירה,הגבירה,החייטת
B,12,filler,filler,השחקניות השתתפו ביחד במשחק הראשון של הטורניר,אחרי הענקת המדליות השוערת שניצחה במשחק האלים של שכבת הנוער נעלבה מהשופט ובעטה בשחקנית שעמדה בצד,?את מי השופט העליב,השחקנית,השוערת,השוערת,השחקנית
B,13,filler,filler,המארגנת מילאה את הכוס שלה בזמן שהתקליטנית בחרה שיר,לפני ההופעה הגברים הציקו לתקליטנית שהיתה עסוקה בשיחה עם המארגנת,?למי הגברים הציקו,המארגנת,התקליטנית,התקליטנית,המארגנת
B,14,filler,filler,החזירות התגלגלו באדמה בעוד החתולה שיחקה בצמחים,באותו יום היו שם בחורים אכזריים שהרביצו לחתולה ששיחקה הכי קרוב לחזירות,?למי הבחורים הרביצו,החזירות,החתולה,החתולה,החזירות
B,15,filler,filler,הפרה ישנה בשמש והסוסות שיחקו ליד הבריכה,קצת אחרי הסוסה האצילה שהילדים רכבו עליה פגעה בפרה הלבנה שהיתה ליד הבריכה,?על מי הילדים רכבו,הפרה,הסוסה,הסוסה,הפרה
B,16,filler,filler,הכרטיסנית והבת שלה עלו ביחד לרכבת,לפני הנסיעה הכרטיסנית שכעסה בגלל הנוסעים שוחחה עם הבת שלה שדפדפה באינסטגרם,?את מי הנוסעים הכעיסו,הבת,הכרטיסנית,הכרטיסנית,הבת
B,17,filler,filler,הילדה דיברה עם האמהות בגן,לפני זה הילדה שהתעצבנה מהילד המפונק של השכנים דיברה עם אמה שהיתה עסוקה ולא התייחסה אליה,?את מי הילד עיצבן,האם,הילדה,הילדה,האם
B,18,filler,filler,בדיקות הראייה הפכו מאד יקרות,אחרי הביקור הרפואי החולָה קיבלה החזר כספי מקופת החולים כי היא התאכזבה מהאופטיקאית הצעירה,?למי קופת החולים נתנה החזר כספי,האופטיקאית,החולָה,החולָה,האופטיקאית
B,19,filler,filler,הסטנדאפיסטיות החליטו להמשיך לחגוג והזוכה התכוננה לחזור הביתה,בעקבות האירוע הזוכה כעסה על הקהל כי הוא לא השתתף בהופעה של הסטנדאפיסטית הקרובה אליה,?את מי הקהל הכעיס,הסטנדאפיסטית,הזוכה,הזוכה,הסטנדאפיסטית
B,20,filler,filler,הדודות בישלו ארוחת ערב כשהפושעת הסתובבה בשכונה,בסיום הארוחה הדודה הפחדנית שהתושבים הזהירו מכניסת הפושעת המסוכנת לבניין שלה נעלה את הדלת,?את מי התושבים הזהירו,הפושעת,הדודה,הדודה,הפושעת
B,21,filler,filler,הנשים והליצניות התכוננו ביחד למסיבה,בתחילת המסיבה האישה שהחוגגים התשושים הפחידו צעקה והלחיצה את הליצנית הידידותית,?את מי החוגגים הפחידו,הליצנית,האישה,האישה,הליצנית
B,22,filler,filler,הכלבה והגורות שחו באגם ביחד,באותו יום הגורה שהוטרינר הרים נשכה את הכלבה המסכנה כי היא פחדה,?את מי הוטרינר הרים,הכלבה,הגורה,הגורה,הכלבה
B,23,filler,filler,הילדות רצו בחצר ביחד,באותו זמן הכלבה שנבהלה מהחתולים האגרסיביים של הסבתא רדפה אחרי הילדה הקטנה ביותר בחבורה,?את מי החתולים הבהילו,הילדה,הכלבה,הכלבה,הילדה
B,24,filler,filler,המנקות והמשרתות רוקנו את המקרר,אחרי הזזת המקרר העדים הפלילו את המשרתת החדשה שעמדה צמוד למנקה הנמוכה ודיברה איתה,?את מי העדים הפלילו,המנקה,המשרתת,המשרתת,המנקה
B,25,filler,filler,הנשים והמומחיות השתתפו ביחד בתכנית מיוחדת,בתקופה זו המומחית שהאסיסטנטים אירחו טיפלה באישה האמיצה שנלחמה במחלה,?את מי האסיסטנטים אירחו,האישה,המומחית,המומחית,האישה
B,26,filler,filler,ההפגנה התחילה בכיכר הקרובה,אחרי ההפגנה המפגינים איימו על הנערה הרגועה שהצביעה על המתפללת מהכפר הקטן,?על מי המפגינים איימו,המתפללת,הנערה,הנערה,המתפללת
B,27,filler,filler,השקת הספר היתה מרגשת,במהלך האירוע המשוררת שהקהל הקשוח אהב תמכה בנכדה המוכשרת שלה כדי שתגשים את חלומה,?את מי הקהל אהב,הנכדה,המשוררת,המשוררת,הנכדה
B,28,filler,filler,הפעילות נפגשו אתמול בבוקר,באותו בוקר השרה הוותיקה שהאנליסטים ליוו במהלך ניסוח החוק ביקשה מהפעילה לעזור בקידומו,?את מי האנליסטים ליוו,הפעילה,השרה,השרה,הפעילה
B,29,filler,filler,הכבאיות הוזעקו לאזור השריפה,אחרי השריפה השומרת שמנעה את הכבאית מלהיכנס לאזור המסוכן הוענשה על-ידי התושבים של הכפר,?את מי התושבים הענישו,הכבאית,השומרת,השומרת,הכבאית
B,30,filler,filler,המשרדים הסמוכים חוברו למשרד אחד,בגלל השינוי המוקדנית שהתבלבלה בגלל הלקוחות ביקשה מהמזכירה לחזור למשרד החדש ביחד,?את מי הלקוחות בלבלו,המזכירה,המוקדנית,המוקדנית,המזכירה
B,31,filler,filler,הנואמות התכוננו ביחד לעלייה לבמה,אחרי סיום הנאום המפגינים העקשנים שמרו על הנואמת שנפגעה על-ידי המשאית שנסעה במהירות,?על מי המפגינים שמרו,המשאית,הנואמת,הנואמת,המשאית
B,32,filler,filler,הקשישות הלכו למועדון והמטפלת עישנה בחוץ,בכניסה למועדון הקליינטים קיללו את המטפלת הביישנית ששכחה לעזור לקשישה להתלבש לפני האירוע,?את מי הקליינטים קיללו,הקשישה,המטפלת,המטפלת,הקשישה
C,1,d,רק פילר,המדריכות שתו קפה ביחד בבית הקפה הקטן אתמול,הבוקר התיירת שכרה את המדריכה שהמקומיים מהכפר הסמוך התרגזו עליה בעקבות אי הבנה,?על מי המקומיים התרגזו,התיירת,המדריכה,התיירת,המדריכה
C,2,b,כללי,התחרות האינטינסיבית התחילה בשמונה בבוקר,בתחילת התחרות המאמנת הרחיקה את המתעמלת שהאוהדים הקולניים והמאוכזבים זלזלו בה בגלל ההפסדים האחרונים,?במי האוהדים זלזלו,המאמנת,המתעמלת,המאמנת,המתעמלת
C,3,a,יחד,המפיקות והסוכנת הקשיבו לשיר החדש אחרי שהוקלט,ביציאה מהסטודיו הסוכנת התלחשה עם המפיקה שהנגנים המוכשרים והידידותיים התלהבו ממנה בעקבות הצלחת האלבום,?ממי הנגנים התלהבו,הסוכנת,המפיקה,הסוכנת,המפיקה
C,4,c,נפרד,השוטרת עישנה מחוץ לחדר החקירות בזמן שהחשודות המתינו בחדר לבד ובשקט,בכניסה לחדר השוטרת הסתירה את החשודה שהפושעים מהעולם התחתון איימו עליה אחרי המעצר המתוקשר,?על מי הפושעים איימו,השוטרת,החשודה,השוטרת,החשודה
C,5,d,רק פילר,הסוהרות יצאו מהמשרד לפני שנוקה אתמול בערב,הבוקר המפקחת תחקרה את הסוהרת שהאסירים האלימים ביותר התעללו בה בתחילת התפקיד הרשמי,?במי האסירים התעוללו,המפקחת,הסוהרת,המפקחת,הסוהרת
C,6,b,כללי,הבמה הרחבה נוקתה לפני התחלת המופע הגדול,אחר כך הזמרת דיברה עם הכוכבת שהמעריצים הנאמנים והמסורים דאגו לה בזמן ההיעדרות הממושכת,?למי המעריצים דאגו,הזמרת,הכוכבת,הזמרת,הכוכבת
C,7,a,יחד,החובשות והרופאה חיפשו כסא גלגלים מתאים לפני המשמרת,קצת אחר כך הרופאה תשאלה את החובשת שהפצועים חסרי האונים נזקקו לה בעקבות תאונת הדרכים,?למי הפצועים נזקקו,הרופאה,החובשת,הרופאה,החובשת
C,8,d,רק פילר,היועצות החליטו להישאר בכנס עד ההרצאה האחרונה,אחרי הכנס הנשיאה זימנה את היועצת שהלוביסטים מטעם הארגון שילמו לה כדי לקדם את החוק בנוגע לאיכות הסביבה,?למי הלוביסטים שילמו,הנשיאה,היועצת,הנשיאה,היועצת
C,9,b,כללי,יום הצילומים התחיל מוקדם בבוקר וכנראה יימשך עד הערב,בתחילת הצילומים הבמאית הסריטה את השחקנית שהניצבים הצעירים והנרגשים התבוננו בה בהתעניינות לזמן רב,?במי הניצבים התבוננו,הבמאית,השחקנית,הבמאית,השחקנית
C,10,a,יחד,המבריחות והבלשית רדפו אחרי הרכב שהכיל סחורה לא חוקית לפני שנתפס,לקראת החקירה הבלשית איתרה את המבריחה שהסייענים הפיקחים והזריזים עזרו לה תמורת תשלום גבוה,?למי הסייענים עזרו,הבלשית,המבריחה,הבלשית,המבריחה
C,11,c,נפרד,האחראית דיברה בטלפון בזמן שהקופאיות עבדו במשמרת בוקר,באמצע המשמרת האחראית קראה לקופאית שהלקוחות התובעניים והדעתניים הקשיבו לה בתשומת לב,?למי הלקוחות הקשיבו,האחראית,הקופאית,האחראית,הקופאית
C,12,a,יחד,הרקדניות והכוראוגרפית חיכו לרכבת הקרובה אחרי החזרה,בתוך ההמון הכוריאוגרפית זיהתה את הרקדנית שהמלהקים המתנשאים במחזמר לעגו לה במהלך האודישן הראשון,?למי המלהקים לעגו,הכוריאוגרפית,הרקדנית,הכוריאוגרפית,הרקדנית
C,13,d,רק פילר,הזקנות הכינו ארוחת צהריים חגיגית ביחד,באותו יום הדיירת אירחה את הזקנה שהשכנים גסי הרוח ריכלו עליה באסיפת הבניין האחרונה,?על מי השכנים ריכלו,הדיירת,הזקנה,הדיירת,הזקנה
C,14,b,כללי,התערוכה הבינלאומית השנתית לאומנות תתחיל מחר,בפתיחת התערוכה הסוחרת שוחחה עם הציירת שהאספנים העשירים והמסתוריים הסתכלו עליה בהתפלאות,?על מי האספנים הסתכלו,הסוחרת,הציירת,הסוחרת,הציירת
C,15,a,יחד,המפקדות והקצינה השתתפו בקורס הקשה והתובעני,בסיום הקורס הקצינה הכשירה את המפקדת שהטירונים המבולבלים והעייפים פחדו ממנה פחד עצום,?ממי הטירונים פחדו,הקצינה,המפקדת,הקצינה,המפקדת
C,16,c,נפרד,הצלמת ניקתה את המצלמה החדשה והדוגמניות התכוננו לסשן הצילום העתידי,לקראת הסשן הצלמת בחרה את הדוגמנית שהמעצבים הנחשבים ביותר התנכלו לה אחרי הראיון למגזין,?למי המעצבים התנכלו,הצלמת,הדוגמנית,הצלמת,הדוגמנית
C,17,d,רק פילר,הכתבות התכוננו לעבודה בבוקר ביחד,במהלך העבודה המגישה ראיינה את הכתבת שהבכירים בערוץ המרכזי התרשמו ממנה הודות למקצועיות יוצאת דופן,?ממי הבכירים התרשמו,המגישה,הכתבת,המגישה,הכתבת
C,18,b,כללי,המסעדה המפוארת הוזכרה בכתבה לפני חודשיים,בזמן האחרון הטבחית חיבבה את המלצרית שהסועדים השבעים והמרוצים החמיאו לה כמעט כל יום,?למי הסועדים החמיאו,הטבחית,המלצרית,הטבחית,המלצרית
C,19,a,יחד,המלחינות והפסנתרנית ארגנו ביחד את סדנת המוזיקה בשבוע שעבר,בתחילת הסדנה הפסנתרנית הציגה את המלחינה שהכנרים הותיקים והמפורסמים התפעלו ממנה במהלך החזרות לקונצרט,?ממי הכנרים התפעלו,הפסנתרנית,המלחינה,הפסנתרנית,המלחינה
C,20,c,נפרד,הפקחית סיימה את המשמרת הארוכה והנהגות נסעו לתחנת הדלק הקרובה,ליד הצומת הפקחית צילמה את הנהגת שהאופנוענים חסרי הזהירות חמקו ממנה בזמן שהרמזור התחלף,?ממי האופנוענים חמקו,הפקחית,הנהגת,הפקחית,הנהגת
C,21,d,רק פילר,הטניסאיות התווכחו אחרי התחרות המתסכלת בתקווה להגיע לפתרון,בסוף הויכוח השופטת פסלה את הטניסאית שהצופים מהיציע העליון ניגשו אליה במחצית של המשחק,?למי הצופים ניגשו,השופטת,הטניסאית,השופטת,הטניסאית
C,22,a,יחד,המתווכות והאדריכלית נפגשו לראשונה באזור הדיור הציבורי ביום חמישי,מאז הפגישה הראשונה האדריכלית שנאה את המתווכת שהדיירים הזהירים והמנוסים סמכו עליה בתהליך כתיבת החוזה,?על מי הדיירים סמכו,האדריכלית,המתווכת,האדריכלית,המתווכת
C,23,c,נפרד,המתרגלת התכוננה לשיעור והסטודנטיות הלכו לקפיטריה,בסוף ההפסקה המתרגלת התיידדה עם הסטודנטית שהמרצים חסרי הנסיון ייעצו לה בזמן המבחן הקשה,?למי המרצים ייעצו,המתרגלת,הסטודנטית,המתרגלת,הסטודנטית
C,24,d,רק פילר,הפסיכולוגיות העבירו שאלון כללי וקצר כדי לשפר את הטיפולים,בסוף המשמרת המאבחנת חיפשה את הפסיכולוגית שהמטופלים באגף השיקום נקשרו אליה הודות ליחס האישי,?למי המטופלים נקשרו,המאבחנת,הפסיכולוגית,המאבחנת,הפסיכולוגית
C,25,b,כללי,הבריכה האולימפית הענקית קיימה את התחרות היומית,בהמשך היום השדרנית ראיינה את השחיינית שהמתחרים המובילים בעולם צפו בה במהלך סיקור התוצאות,?מי המתחרים הדהימו,השדרנית,השחיינית,השדרנית,השחיינית
C,26,a,יחד,העיתונאיות והעורכת רבו ללא הפסקה לפני הפגישה,בעקבות הפגישה העורכת צינזרה את העיתונאית שהקוראים האדוקים והמשכילים השפיעו עליה בנוגע למאמר הנוקב,?על מי הקוראים השפיעו,העורכת,העיתונאית,העורכת,העיתונאית
C,27,c,נפרד,התורמת חיכתה לתוצאות הניסוי והחוקרות ניקו את הציוד,באותו זמן התורמת הקשיבה לחוקרת שהמתמחים העצלנים והתלותיים הפריעו לה בתהליך אישור המענק,?למי המתמחים הפריעו,התורמת,החוקרת,התורמת,החוקרת
C,28,d,רק פילר,המלבישות הכינו את התפאורה לפני ההופעה,בתחילת ההופעה הסדרנית ליוותה את המלבישה שהגברים החצופים והמופרעים הציקו לה בכניסה לבניין,?למי הגברים הציקו,הסדרנית,המלבישה,הסדרנית,המלבישה
C,29,b,כללי,הכנסייה העתיקה נוקתה לפני החתונה המסורתית,בקבלת הפנים הכלה נצמדה למאפרת שהאורחים הנחמדים והחייכנים הודו לה בלבביות רבה,?למי האורחים הודו,הכלה,המאפרת,הכלה,המאפרת
C,30,a,יחד,המיילדות והאחות סידרו ביחד את המחלקה לפני המשמרת,בתחילת המשמרת האחות ניחמה את המיילדת שהמתלמדים החדשים והמתנשאים זלזלו בה בצורה מעליבה ופוגענית,?במי המתלמדים זלזלו,האחות,המיילדת,האחות,המיילדת
C,31,c,נפרד,המתנדבת הביאה מים בזמן שהנבדקות קראו את הוראות הניסוי,במהלך הניסוי המתנדבת הקליטה את הנבדקת שעוזרי המחקר המנוסים דיברו איתה בעניין רב,?עם מי עוזרי המחקר דיברו,המתנדבת,הנבדקת,המתנדבת,הנבדקת
C,32,d,רק פילר,הספרניות ארגנו ביחד את התיקיות המבולגנות בקטלוג,תוך כדי העבודה הרכזת זירזה את הספרנית שהפועלים האיטיים והיסודיים עזרו לה בהכנות,?למי הפועלים עזרו,הרכזת,הספרנית,הרכזת,הספרנית
C,1,filler,filler,הטייסת והדיילות תפעלו את המערכת,לפני תחילת הנסיעה הדיילת שהנוסעים ריגשו הביטה בטייסת בעלת התסרוקת המוזרה,?את מי הנוסעים ריגשו,הטייסת,הדיילת,הדיילת,הטייסת
C,2,filler,filler,חנות השירות העצמי נפתחה לפני שבוע,בגלל חוסר אחריות המכונה שנשברה על-ידי הצרכנים המגושמים חשפה את קופסת הכסף שבתוכה,?מה הצרכנים שברו,קופסת הכסף,המכונה,המכונה,קופסת הכסף
C,3,filler,filler,הבנאים מרעישים הרבה בלילה,בנוסף לרעש המרפאה שנבנית על-ידי הבנאים החרוצים מסתירה את הדירה שבקצה השכונה,?מה הבנאים בונים,הדירה,המרפאה,המרפאה,הדירה
C,4,filler,filler,האומנת כיבסה את הבגדים והאמא בישלה ארוחת ערב,אחרי חיפוש ארוך באינטרנט האמא שתמיד התלהבה ממותגים יקרים שכרה את האומנת היצירתית,?את מי המותגים מלהיבים,האומנת,האמא,האמא,האומנת
C,5,filler,filler,האצניות צפו במירוץ ביחד,בדרך הביתה אחרי המירוץ האצנית שהתאכזבה מהעמיתים שלה הביטה בבחורה הבוכה לבד בצד הדרך,?את מי הקרובים אכזבו,הבחורה,האצנית,האצנית,הבחורה
C,6,filler,filler,הכבשים נלקחו לבדיקה כללית והתרנגולת הסתובבה לידן,אחרי הבדיקה הכבשה שטופלה על-ידי החקלאי בעטה בתרנגולת שהיתה לידה,?במי החקלאי טיפל,התרנגולת,הכבשה,הכבשה,התרנגולת
C,7,filler,filler,אתמול התקיימה פגישה על הצוואה,הבוקר האלמנה שהחשבונאים הקפדנים העריכו החליטה לתרום לחברה במקום להחליט על יורשת,?את מי החשבונאים העריכו,לחברה,האלמנה,האלמנה,לחברה
C,8,filler,filler,הכדורגלניות צפו בתחרות ביחד בערב,במהלך המשחק המתמודדים העליבו את הכדורגלנית החלשה שניצלה את העמיתה שלה מהקבוצה הגדולה,?את מי המתמודדים העליבו,העמיתה,הכדורגלניות,הכדורגלניות,העמיתה
C,9,filler,filler,הכדורסלניות והמאמנת הסתודדו,בגמר הגדול הכדורסלנית שהקהל כיבד כי היא מקשיבה למאמנת המנוסה שיחקה מצוין,?את מי הקהל מכבד,המאמנת,הכדורסלניות,הכדורסלניות,המאמנת
